platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,1T,1,0.0004719349670122,0.0205942360980207,0.0205999538171536,43.6275524113441,9.719140133560857e-06,4.23787203703492,0.09711455139587424,25.427232222209522,0.5826873083752454,74.0,1339.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,1T,1,0.0004684953205428,0.0220827316331305,0.0220844857276555,47.133648061113306,1.0345656434924103e-05,4.268986075854064,0.09056850543795134,25.613916455124386,0.5434110326277081,83.0,1348.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,1T,1,0.0004682140851661,0.0221374686476368,0.0221382847449695,47.261920379722994,1.0365074630746485e-05,4.2715502659226825,0.09034456612154265,25.6293015955361,0.542067396729256,82.0,1339.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,1T,1,0.0004688265449438,0.0227965154494382,0.0227971921816479,48.624563989192325,1.0687611574918067e-05,4.2659700513326255,0.08773270653736198,25.595820307995755,0.5263962392241719,85.0,1338.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,1T,1,0.0004696037558685,0.0221575819248826,0.02215774342723,47.17093400974251,1.0405283692888857e-05,4.258909719112312,0.09026255693334627,25.553458314673875,0.5415753416000776,85.0,1336.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,2T,2,0.000261985878661,0.0161446991370292,0.0161638522489539,61.60561573086368,4.229683189132083e-06,7.633999245386527,0.12387966991672425,45.80399547231916,0.7432780195003454,80.0,1467.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,2T,2,0.0002606108650338,0.0163195471599791,0.0163416758728504,62.7918843257503,4.253051302322048e-06,7.674277124787601,0.12255242013728532,46.045662748725604,0.7353145208237118,83.0,1478.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,2T,2,0.000262915724428,0.0165721661845911,0.0165839719957927,62.82483981144502,4.357083077762974e-06,7.607000320544555,0.12068428337748702,45.64200192326733,0.7241057002649222,82.0,1478.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,2T,2,0.0002604632679738,0.0162786168627451,0.0162827928104575,62.33395131170641,4.239981746163996e-06,7.678625917421799,0.12286056099625749,46.0717555045308,0.737163365977545,83.0,1614.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,2T,2,0.0002678139784946,0.0167897932795698,0.0169227838709677,62.72168454553049,4.496541336303486e-06,7.467870091180944,0.1191199895494631,44.80722054708566,0.7147199372967785,82.0,1616.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,4T,4,0.0001342502588661,0.0112531681982914,0.0112920638105099,82.13992627002315,1.5107407436843847e-06,14.897550417349898,0.17772772651737895,89.38530250409939,1.0663663591042738,65.0,2043.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,4T,4,0.0001256629629629,0.0114328861268047,0.0114398811048336,90.95232776038227,1.4366903459117123e-06,15.915588434680378,0.17493395611725265,95.49353060808228,1.0496037367035158,85.0,1784.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,4T,4,0.0001265717610062,0.0115814027672955,0.0115861044025157,91.54831146331524,1.4658785431786693e-06,15.801312900292443,0.1726906524352785,94.80787740175465,1.036143914611671,85.0,1831.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,4T,4,0.0001258353997975,0.011434896444838,0.0114356417636639,90.90619242471816,1.438914765779201e-06,15.893778723781148,0.17490320176033167,95.36267234268689,1.04941921056199,85.0,1839.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,4T,4,0.0001251956386679,0.0114364027708747,0.0114364284294234,91.26983795672024,1.431787748962999e-06,15.974997382339305,0.1748801646872247,95.84998429403585,1.049280988123348,85.0,1840.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,8T,8,7.479832997837919e-05,0.0097120277342876,0.0097120339968687,129.73697028046882,7.264434552284142e-07,26.73856489280054,0.20593021917957946,160.43138935680327,1.235581315077477,83.0,2187.0,12000000.0,0.1666666666666666
