workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_cv,energy_cv
AXPY,1000000,3090,gpu_resident,-1,1.2711648954017435e-05,0.0044095600010167,5.6056697439533585e-08,340.2395059430982,0.0375310429144966,0.0323885875915939
AXPY,1000000,5060ti,gpu_resident,-1,8.188072942765906e-06,0.0011103864734299,9.091926211190982e-09,135.61022073174252,1.1130186153050336e-06,0.0160421512201453
AXPY,1000000,AMD,1T,1,8.593148480936397e-05,0.0066938555813753,5.750690679712594e-07,77.43731390484476,0.0272477840490633,0.0287963262000739
AXPY,1000000,AMD,2T,2,4.8750493845706535e-05,0.0046487630839309,2.266799037128228e-07,94.5616560139167,0.0130018873577087,0.0127788787636652
AXPY,1000000,AMD,4T,4,2.797330181114337e-05,0.0033776206469714,9.40197378500672e-08,120.42590107149375,0.0115034129433325,0.0065825615678409
AXPY,1000000,AMD,8T,8,1.9338647402843605e-05,0.00289220307109,5.5923378717509856e-08,149.76969667428173,0.0087046367280143,0.00481730666218
AXPY,1000000,AMD,10T,10,1.8497303852638376e-05,0.0028965167790651,5.3577749305537113e-08,156.16959230749976,0.1198468561305054,0.0629273291598792
AXPY,1000000,AMD,16T,16,1.9863214620734277e-05,0.0031958930535338,6.339608264572019e-08,160.78620897334898,0.1739465970847042,0.1396152022626474
AXPY,1000000,AMD,20T,20,2.0672941617783265e-05,0.003326136869793,6.861618393230281e-08,161.79381807597304,0.023697300246626,0.019048031042918
AXPY,1000000,AMD,32T,32,2.5432778553406223e-05,0.0044320601523542,1.1230880336828687e-07,172.03544255440335,0.0429834655958076,0.0363929744870257
AXPY,1000000,AMD,64T,64,5.6880483865629656e-05,0.0090622209995035,5.156927123621966e-07,160.06021786641963,0.0166808456649239,0.0113333821922524
AXPY,1000000,INTEL,1T,1,0.0003069147118332,0.0134188165279062,4.14514772602887e-06,43.49819005255924,0.0055591043506162,0.0262634198853677
AXPY,1000000,INTEL,2T,2,0.0001655286172818,0.0097615783730158,1.6187393694233111e-06,58.80525398027591,0.009333328136119,0.0022675474148068
AXPY,1000000,INTEL,4T,4,8.314250980473618e-05,0.0071015959285417,5.90303563996991e-07,85.42980780234359,0.0187284516436217,0.0389719471707676
AXPY,1000000,INTEL,8T,8,2.469492109359557e-05,0.0031471324571086,7.765459014124949e-08,132.75035066921362,0.0723416020450311,0.0567973858820736
AXPY,1000000,INTEL,10T,10,1.516122525359576e-05,0.0022499783469657,3.3390458525892095e-08,150.17144739883446,0.1293245100676555,0.1084389697314228
AXPY,1000000,INTEL,16T,16,2.9391446645050094e-05,0.0038841042531718,1.1240372822884007e-07,132.14188366308537,0.1137297844073454,0.0987397938048691
