workload,size,threshold,exists,count
AXPY,1000000,1,True,1
AXPY,1000000,2,True,1
AXPY,1000000,5,True,1
AXPY,1000000,10,True,1
AXPY,1000000,20,True,1
AXPY,2000000,1,True,1
AXPY,2000000,2,True,1
AXPY,2000000,5,True,1
AXPY,2000000,10,True,1
AXPY,2000000,20,True,1
AXPY,4000000,1,True,1
AXPY,4000000,2,True,1
AXPY,4000000,5,True,1
AXPY,4000000,10,True,1
AXPY,4000000,20,True,1
AXPY,8000000,1,True,1
AXPY,8000000,2,True,1
AXPY,8000000,5,True,1
AXPY,8000000,10,True,1
AXPY,8000000,20,True,2
AXPY,16000000,1,False,0
AXPY,16000000,2,False,0
AXPY,16000000,5,False,0
AXPY,16000000,10,False,0
AXPY,16000000,20,False,0
AXPY,32000000,1,False,0
AXPY,32000000,2,False,0
AXPY,32000000,5,False,0
AXPY,32000000,10,False,0
AXPY,32000000,20,False,0
AXPY,64000000,1,False,0
AXPY,64000000,2,False,0
AXPY,64000000,5,False,0
AXPY,64000000,10,False,0
AXPY,64000000,20,False,0
AXPY,128000000,1,False,0
AXPY,128000000,2,False,0
AXPY,128000000,5,False,0
AXPY,128000000,10,False,0
AXPY,128000000,20,False,0
AXPY,256000000,1,False,0
AXPY,256000000,2,False,0
AXPY,256000000,5,False,0
AXPY,256000000,10,False,0
AXPY,256000000,20,False,0
CONV2D,1,1,True,1
CONV2D,1,2,True,1
CONV2D,1,5,True,1
CONV2D,1,10,True,1
CONV2D,1,20,True,1
CONV2D,2,1,False,0
CONV2D,2,2,False,0
CONV2D,2,5,False,0
CONV2D,2,10,True,1
CONV2D,2,20,True,1
CONV2D,3,1,True,1
CONV2D,3,2,True,1
CONV2D,3,5,True,1
CONV2D,3,10,True,1
CONV2D,3,20,True,1
CONV2D,4,1,False,0
CONV2D,4,2,False,0
CONV2D,4,5,False,0
CONV2D,4,10,False,0
CONV2D,4,20,True,1
CONV2D,5,1,True,1
CONV2D,5,2,True,1
CONV2D,5,5,True,1
CONV2D,5,10,True,1
CONV2D,5,20,True,1
CONV2D,6,1,False,0
CONV2D,6,2,False,0
CONV2D,6,5,False,0
CONV2D,6,10,False,0
CONV2D,6,20,True,1
GEMM,64,1,True,1
GEMM,64,2,True,1
GEMM,64,5,True,2
GEMM,64,10,True,4
GEMM,64,20,True,5
GEMM,128,1,False,0
GEMM,128,2,False,0
GEMM,128,5,False,0
GEMM,128,10,False,0
GEMM,128,20,False,0
GEMM,256,1,False,0
GEMM,256,2,False,0
GEMM,256,5,False,0
GEMM,256,10,False,0
GEMM,256,20,False,0
GEMM,512,1,True,1
GEMM,512,2,True,1
GEMM,512,5,True,1
GEMM,512,10,True,1
GEMM,512,20,True,1
GEMM,1024,1,True,1
GEMM,1024,2,True,1
GEMM,1024,5,True,1
GEMM,1024,10,True,1
GEMM,1024,20,True,1
GEMM,2048,1,True,1
GEMM,2048,2,True,1
GEMM,2048,5,True,1
GEMM,2048,10,True,1
GEMM,2048,20,True,1
GEMM,4096,1,True,1
GEMM,4096,2,True,1
GEMM,4096,5,True,1
GEMM,4096,10,True,1
GEMM,4096,20,True,1
GEMM,8192,1,True,1
GEMM,8192,2,True,1
GEMM,8192,5,True,1
GEMM,8192,10,True,1
GEMM,8192,20,True,1
GEMM,16384,1,True,1
GEMM,16384,2,True,1
GEMM,16384,5,True,1
GEMM,16384,10,True,1
GEMM,16384,20,True,1
REDUCTION,1000000,1,False,0
REDUCTION,1000000,2,False,0
REDUCTION,1000000,5,False,0
REDUCTION,1000000,10,True,1
REDUCTION,1000000,20,True,1
REDUCTION,2000000,1,True,1
REDUCTION,2000000,2,True,1
REDUCTION,2000000,5,True,1
REDUCTION,2000000,10,True,1
REDUCTION,2000000,20,True,1
REDUCTION,4000000,1,True,1
REDUCTION,4000000,2,True,1
REDUCTION,4000000,5,True,1
REDUCTION,4000000,10,True,1
REDUCTION,4000000,20,True,1
REDUCTION,8000000,1,True,1
REDUCTION,8000000,2,True,1
REDUCTION,8000000,5,True,1
REDUCTION,8000000,10,True,1
REDUCTION,8000000,20,True,1
REDUCTION,16000000,1,False,0
REDUCTION,16000000,2,False,0
REDUCTION,16000000,5,False,0
REDUCTION,16000000,10,False,0
REDUCTION,16000000,20,False,0
REDUCTION,32000000,1,False,0
REDUCTION,32000000,2,False,0
REDUCTION,32000000,5,False,0
REDUCTION,32000000,10,False,0
REDUCTION,32000000,20,False,0
REDUCTION,64000000,1,False,0
REDUCTION,64000000,2,False,0
REDUCTION,64000000,5,False,0
REDUCTION,64000000,10,False,0
REDUCTION,64000000,20,False,0
REDUCTION,128000000,1,False,0
REDUCTION,128000000,2,False,0
REDUCTION,128000000,5,False,0
REDUCTION,128000000,10,False,0
REDUCTION,128000000,20,False,0
REDUCTION,256000000,1,False,0
REDUCTION,256000000,2,False,0
REDUCTION,256000000,5,False,0
REDUCTION,256000000,10,False,0
REDUCTION,256000000,20,False,0
STREAM,1000000,1,True,1
STREAM,1000000,2,True,1
STREAM,1000000,5,True,1
STREAM,1000000,10,True,1
STREAM,1000000,20,True,1
STREAM,2000000,1,True,1
STREAM,2000000,2,True,1
STREAM,2000000,5,True,1
STREAM,2000000,10,True,1
STREAM,2000000,20,True,1
STREAM,4000000,1,False,0
STREAM,4000000,2,False,0
STREAM,4000000,5,False,0
STREAM,4000000,10,False,0
STREAM,4000000,20,True,3
STREAM,8000000,1,True,1
STREAM,8000000,2,True,1
STREAM,8000000,5,True,1
STREAM,8000000,10,True,1
STREAM,8000000,20,True,1
STREAM,16000000,1,False,0
STREAM,16000000,2,False,0
STREAM,16000000,5,False,0
STREAM,16000000,10,False,0
STREAM,16000000,20,False,0
STREAM,32000000,1,False,0
STREAM,32000000,2,False,0
STREAM,32000000,5,False,0
STREAM,32000000,10,False,0
STREAM,32000000,20,False,0
STREAM,64000000,1,False,0
STREAM,64000000,2,False,0
STREAM,64000000,5,False,0
STREAM,64000000,10,False,0
STREAM,64000000,20,False,0
STREAM,128000000,1,False,0
STREAM,128000000,2,False,0
STREAM,128000000,5,False,0
STREAM,128000000,10,False,0
STREAM,128000000,20,False,0
STREAM,256000000,1,False,0
STREAM,256000000,2,False,0
STREAM,256000000,5,False,0
STREAM,256000000,10,False,0
STREAM,256000000,20,False,0
STRIDED_GEMM,64,1,True,1
STRIDED_GEMM,64,2,True,1
STRIDED_GEMM,64,5,True,1
STRIDED_GEMM,64,10,True,1
STRIDED_GEMM,64,20,True,2
STRIDED_GEMM,128,1,False,0
STRIDED_GEMM,128,2,False,0
STRIDED_GEMM,128,5,False,0
STRIDED_GEMM,128,10,False,0
STRIDED_GEMM,128,20,False,0
STRIDED_GEMM,256,1,False,0
STRIDED_GEMM,256,2,False,0
STRIDED_GEMM,256,5,False,0
STRIDED_GEMM,256,10,False,0
STRIDED_GEMM,256,20,False,0
STRIDED_GEMM,512,1,False,0
STRIDED_GEMM,512,2,False,0
STRIDED_GEMM,512,5,True,1
STRIDED_GEMM,512,10,True,1
STRIDED_GEMM,512,20,True,1
STRIDED_GEMM,1024,1,True,1
STRIDED_GEMM,1024,2,True,1
STRIDED_GEMM,1024,5,True,1
STRIDED_GEMM,1024,10,True,1
STRIDED_GEMM,1024,20,True,1
STRIDED_GEMM,2048,1,True,1
STRIDED_GEMM,2048,2,True,1
STRIDED_GEMM,2048,5,True,1
STRIDED_GEMM,2048,10,True,1
STRIDED_GEMM,2048,20,True,1
STRIDED_GEMM,4096,1,True,1
STRIDED_GEMM,4096,2,True,1
STRIDED_GEMM,4096,5,True,1
STRIDED_GEMM,4096,10,True,1
STRIDED_GEMM,4096,20,True,1
STRIDED_GEMM,8192,1,True,1
STRIDED_GEMM,8192,2,True,1
STRIDED_GEMM,8192,5,True,1
STRIDED_GEMM,8192,10,True,1
STRIDED_GEMM,8192,20,True,1
STRIDED_GEMM,16384,1,True,1
STRIDED_GEMM,16384,2,True,1
STRIDED_GEMM,16384,5,True,1
STRIDED_GEMM,16384,10,True,1
STRIDED_GEMM,16384,20,True,1
