workload,size,train_conflict_folds,holdout_conflict_folds,both_within_2pct_folds,both_within_5pct_folds,median_runtime_holdout_regret_pct,median_energy_holdout_regret_pct
AXPY,16000000,5,5,5,5,0.0,0.0
AXPY,32000000,5,5,5,5,0.0,0.0
AXPY,64000000,5,5,5,5,0.0,0.0
AXPY,128000000,5,5,5,5,0.0,0.0
AXPY,256000000,5,5,5,5,0.0,0.0
CONV2D,2,5,5,5,5,0.0,0.0
CONV2D,4,5,5,5,5,0.0,0.0
CONV2D,6,5,5,5,5,0.0,0.0
GEMM,128,5,5,5,5,0.0,0.0
GEMM,256,5,5,5,5,0.0,0.0
REDUCTION,1000000,5,5,5,5,0.0,0.0
REDUCTION,16000000,5,4,4,4,0.0,0.0
REDUCTION,32000000,5,5,5,5,0.0,0.0
REDUCTION,64000000,5,5,5,5,0.0,0.0
REDUCTION,128000000,5,5,5,5,0.0,0.0
REDUCTION,256000000,5,5,5,5,0.0,0.0
STREAM,4000000,5,4,4,4,0.0,0.0
STREAM,16000000,5,5,5,5,0.0,0.0
STREAM,32000000,5,5,5,5,0.0,0.0
STREAM,64000000,5,5,5,5,0.0,0.0
STREAM,128000000,5,5,5,5,0.0,0.0
STREAM,256000000,5,5,5,5,0.0,0.0
STRIDED_GEMM,128,5,5,5,5,0.0,0.0
STRIDED_GEMM,256,5,5,5,5,0.0,0.0
