platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,1T,1,0.0001464645680819,0.0071333204978038,0.0071333204978038,48.70684378742599,1.0447787057005976e-06,6.827583033193536,0.14018702794972954,27.31038675349303,0.5607492332962632,85.0,1364.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,1T,1,0.0001464945103205,0.0077316271409749,0.0077316271409749,52.77029163264764,1.1326409319978053e-06,6.826187532981318,0.12933875130893957,27.304804741480144,0.5173560399468035,95.0,1364.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,1T,1,0.0001464603895153,0.0077077310733635,0.0077077310733635,52.61858039552635,1.1288772952839996e-06,6.827777826546986,0.12973973669836672,27.311165928465176,0.5189599847123985,96.0,1374.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,1T,1,0.0001463853526485,0.0077882901668129,0.0077882901668129,53.195678291417615,1.1400916025977513e-06,6.831277733102124,0.12839775850431834,27.32516558268501,0.5135920612003686,98.0,1364.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,1T,1,0.0001463938240889,0.0078822732328406,0.0078822732328406,53.83601976820337,1.1539161210691118e-06,6.830882424334613,0.1268668276853963,27.32358434445249,0.5074683256772217,98.0,1362.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,2T,2,8.228296997120527e-05,0.0056105953105717,0.0056105953105717,68.21738106450186,4.6165644546035625e-07,12.15317094594358,0.17823402770036956,48.61278100923912,0.7129375366751258,91.0,1662.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,2T,2,8.171700434746945e-05,0.0055828600607005,0.0055828600607005,68.33051272051306,4.5621459985157626e-07,12.237342863767951,0.17911948161468458,48.94946935391262,0.7164793594160243,90.5,1632.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,2T,2,8.29580816022511e-05,0.0057573638996937,0.0057573638996937,69.21640070736333,4.776198642046446e-07,12.054268622008067,0.1736904280191845,48.217170922277674,0.6947631016015516,95.5,1615.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,2T,2,8.211022521782015e-05,0.006141189092553,0.006141189092553,74.7953040385578,5.042544194947474e-07,12.17873897370547,0.1628347515325054,48.7150533248311,0.6513403088093366,98.0,1676.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,2T,2,8.363926499032882e-05,0.0058663792363972,0.0058663798671263,70.13914418058334,4.906596474867883e-07,11.956095024455673,0.1704627266160418,47.82447574667854,0.6818522701673438,96.5,1619.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,4T,4,3.157778128950695e-05,0.0026573286662452,0.0026573286662452,84.16479243284866,8.391254343702815e-08,31.667804360032466,0.3763173944956521,126.6714707828181,1.5052725885247749,86.0,1900.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,4T,4,3.126990860600767e-05,0.002768624239683,0.002768624239683,88.5353049902299,8.657462693926487e-08,31.97959458723449,0.3611898594496511,127.9186341859505,1.4447623273203698,91.0,1853.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,4T,4,3.1196041455375256e-05,0.0027854675931795,0.0027854675931795,89.20380211249993,8.689556250943203e-08,32.05531706420061,0.35900579222267703,128.2215246995954,1.4360260409399181,91.5,2007.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,4T,4,3.107978938212544e-05,0.0027711133857289,0.002771117439657,89.12955355352406,8.612562038244275e-08,32.17521803976953,0.3608654215125034,128.70112956107985,1.4434645729762725,94.0,1839.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,4T,4,3.124603622234756e-05,0.0027314290906812,0.0027314290906812,87.24215882995732,8.534633230619864e-08,32.0040274191575,0.3661083509038146,128.0163657091054,1.4644363324849945,92.0,1924.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,8T,8,1.679355700862315e-05,0.0020409929232993,0.0020409929232993,121.67343334458236,3.427553101162321e-08,59.546586794359335,0.4899571128269688,238.18682355060807,1.9598323709686976,88.0,2459.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,8T,8,1.6481157513975665e-05,0.0020838489970404,0.0020838489970404,126.40734677249856,3.434424355556304e-08,60.67528929033185,0.47988074060080893,242.70164256412713,1.9195268014529994,93.0,2459.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,8T,8,1.6438170098006973e-05,0.0020945261461553,0.0020945261461553,127.38458093077767,3.443017706522383e-08,60.83396108191165,0.47743447931437494,243.33633099982194,1.9097417367371539,94.0,2459.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,8T,8,1.6659152231845433e-05,0.0021982313291139,0.0021982313291139,131.93557862258112,3.662067035252038e-08,60.02700414060771,0.4549107215222415,240.1084967789442,1.8196465253783771,96.0,2460.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,8T,8,1.6745937170496578e-05,0.0021286059683007,0.0021286059683007,127.17161925894294,3.5645501805907556e-08,59.715917348706164,0.4697905647602384,238.86414712264119,1.87916601736923,95.0,2459.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,10T,10,1.3881232380741804e-05,0.0019300298698247,0.0019300298698247,138.90628215462073,2.6791193124809514e-08,72.03964119117792,0.5181261780631548,288.15914108241753,2.0725088572661887,83.0,2739.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,10T,10,1.431211200068502e-05,0.0021473865793266,0.0021473865793266,150.07475957866717,3.0733637232090187e-08,69.8708199008041,0.46568187099017366,279.4838385703345,1.8627312094193877,95.0,2739.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,10T,10,1.4282895111668183e-05,0.0021660991838536,0.0021660991838536,151.66626438435657,3.093816744445103e-08,70.0137466656229,0.46165891546154925,280.05554677302507,1.846639355121214,97.0,2739.0,4000004.0,0.2499995000005
