objective,context_level,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,L1,1,AXPY,1000000,3090,6.278925760540241e-08,9.057179283401682e-09,593.2539992939184
edp,L1,1,AXPY,2000000,3090,3.394930957565454e-07,2.823988056301405e-08,1102.1761033974826
edp,L1,1,AXPY,4000000,3090,1.2572760307142503e-06,1.2696094060591431e-07,890.285693154105
edp,L1,1,AXPY,8000000,3090,4.785134613149163e-06,4.785134613149163e-06,0.0
edp,L1,1,AXPY,16000000,3090,1.8779461291658088e-05,1.8779461291658088e-05,0.0
edp,L1,1,AXPY,32000000,3090,7.359157106888748e-05,7.359157106888748e-05,0.0
edp,L1,1,AXPY,64000000,3090,0.0002941970559887489,0.0002941970559887489,0.0
edp,L1,1,AXPY,128000000,3090,0.0011582701125356029,0.0011582701125356029,0.0
edp,L1,1,AXPY,256000000,3090,0.0046359987183019645,0.0046359987183019645,0.0
edp,L1,1,CONV2D,1,3090,3.28425348182058e-05,3.28425348182058e-05,0.0
edp,L1,1,CONV2D,2,3090,2.8514451879983168e-05,2.8514451879983168e-05,0.0
edp,L1,1,CONV2D,3,3090,1.902564620912787e-05,1.902564620912787e-05,0.0
edp,L1,1,CONV2D,4,3090,3.06302219870345e-05,3.06302219870345e-05,0.0
edp,L1,1,CONV2D,5,3090,7.525681460350237e-05,7.525681460350237e-05,0.0
edp,L1,1,CONV2D,6,3090,0.00019440547304422603,0.00019440547304422603,0.0
edp,L1,1,GEMM,64,3090,4.388945450646253e-09,3.2196572837301353e-09,36.31716247641854
edp,L1,1,GEMM,128,3090,4.715168794591461e-09,3.9880664086007704e-09,18.23195281860408
edp,L1,1,GEMM,256,3090,1.4219059172952523e-08,1.4219059172952523e-08,0.0
edp,L1,1,GEMM,512,3090,1.6439557435146534e-07,1.6439557435146534e-07,0.0
edp,L1,1,GEMM,1024,3090,4.85357252115436e-06,4.85357252115436e-06,0.0
edp,L1,1,GEMM,2048,3090,0.00018654187247042487,0.00018654187247042487,0.0
edp,L1,1,GEMM,4096,3090,0.009484102459021381,0.009484102459021381,0.0
edp,L1,1,GEMM,8192,3090,0.5492014127291662,0.5492014127291662,0.0
edp,L1,1,GEMM,16384,3090,34.490732235375,34.490732235375,0.0
edp,L1,1,REDUCTION,1000000,3090,6.880637124709281e-09,2.53995084832503e-09,170.89646751419286
edp,L1,1,REDUCTION,2000000,3090,5.507909527442256e-08,5.937504859192506e-09,827.6471612338731
edp,L1,1,REDUCTION,4000000,3090,1.6358748153037888e-07,1.2523458227704728e-08,1206.2484703185762
edp,L1,1,REDUCTION,8000000,3090,5.536042031506752e-07,3.830514849069819e-08,1345.2475057892266
edp,L1,1,REDUCTION,16000000,3090,2.0464620195041385e-06,2.0464620195041385e-06,0.0
edp,L1,1,REDUCTION,32000000,3090,7.665195402159927e-06,7.665195402159927e-06,0.0
edp,L1,1,REDUCTION,64000000,3090,3.0250734289870027e-05,3.0250734289870027e-05,0.0
edp,L1,1,REDUCTION,128000000,3090,0.0001183328780741159,0.0001183328780741159,0.0
edp,L1,1,REDUCTION,256000000,3090,0.0004693833295610469,0.0004693833295610469,0.0
edp,L1,1,STREAM,1000000,3090,8.183009970182028e-08,9.43437201399628e-09,767.3613843128292
edp,L1,1,STREAM,2000000,3090,3.454095852143541e-07,3.0583928131209865e-08,1029.382673581015
edp,L1,1,STREAM,4000000,3090,1.2493446813582503e-06,9.969733226127186e-07,25.313752436640378
edp,L1,1,STREAM,8000000,3090,4.823940765193059e-06,4.823940765193059e-06,0.0
edp,L1,1,STREAM,16000000,3090,1.8753954887309968e-05,1.8753954887309968e-05,0.0
edp,L1,1,STREAM,32000000,3090,7.359085331190186e-05,7.359085331190186e-05,0.0
edp,L1,1,STREAM,64000000,3090,0.00029342107232524956,0.00029342107232524956,0.0
edp,L1,1,STREAM,128000000,3090,0.0011608856521553804,0.0011608856521553804,0.0
edp,L1,1,STREAM,256000000,3090,0.004631354321319163,0.004631354321319163,0.0
